id,name,active,make_id,created_at,updated_at
339,Yukon,t,gmc,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
34,Zagato,t,aston-martin,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
342,Accord,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
344,City,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
345,Civic,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
346,CRV,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
349,CRX,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
35,A1,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
353,JAZZ,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
354,Legend,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
355,MRV,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
356,Odyssey,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
357,Pilot,t,honda,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
36,A3,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
360,H2,t,hummer,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
362,H3,t,hummer,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
363,Accent,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
364,Atos Prime,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
365,Azera,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
366,Centennial,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
367,Coupe FX,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
368,Elantra,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
37,A4,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
371,Genesis,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
372,Getz,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
373,Grand i10,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
375,H1,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
376,i10,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
377,i20,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
379,i30,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
38,A5,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
380,i40,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
381,Matrix,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
382,Santa Fe,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
383,Sonata,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
385,Terracan,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
387,Trajet,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
388,Tucson,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
389,Veloster,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
391,Veracruz,t,hyundai,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
393,EX,t,infiniti,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
395,FX,t,infiniti,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
397,G,t,infiniti,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
403,JX,t,infiniti,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
405,M,t,infiniti,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
41,A6,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
410,Q,t,infiniti,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
414,QX,t,infiniti,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
42,A7,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
420,D-Max,f,isuzu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
422,Trooper,f,isuzu,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
427,F-Type,t,jaguar,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
428,S-Type,t,jaguar,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
43,A8,t,audi,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
430,XE,t,jaguar,2017-01-16 09:06:17+01,2018-02-13 09:59:57.729+01
431,XF,t,jaguar,2017-01-16 09:06:17+01,2018-02-13 09:59:57.729+01
433,XJ,t,jaguar,2017-01-16 09:06:17+01,2018-02-13 09:59:57.729+01
436,XK,t,jaguar,2017-01-16 09:06:17+01,2018-02-13 09:59:57.729+01
438,Cherokee,t,jeep,2017-01-16 09:06:17+01,2018-01-29 12:57:44.944+01
